epoch,time_s_unc,spacecraft,type,r_x_GSE,r_y_GSE,r_z_GSE,delay_s,ni_up,ni_dw,v_x_GSE_up,v_x_GSE_dw,v_y_GSE_up,v_y_GSE_dw,v_z_GSE_up,v_z_GSE_dw,method,Nx,Ny,Nz,v_sh,ni_up_unc,ni_dw_unc,delay_s_unc,v_x_GSE_up_unc,v_x_GSE_dw_unc,v_y_GSE_up_unc,v_y_GSE_dw_unc,v_z_GSE_up_unc,v_z_GSE_dw_unc,Nx_unc,Ny_unc,Nz_unc,v_sh_unc
1995-01-01    19:36:01.5,12,wind,FF,78.334,-72.071,-5.87,889.86,12.3,27.4,-318.2,-348,1.4,-26,-3.3,7.7,RH08,-0.923,-0.292,0.251,362.2,0.4,2.4,43.5,1.4,1.4,1.6,1.2,1.7,1.7,0.005,0.013,0.246,3.5
1995-01-09    12:53:01.5,60,wind,SF,127.136,-76.28,-9.7,3374.76,1.8,3.5,-460.1,-477.9,-5.8,4.4,26.4,8.9,RH08,-0.372,0.72,-0.587,202.5,0.1,0.3,894.1800000000001,1.8,4,1.4,4.4,1.9,3.5,0.012,0.012,0.508,8.2
1995-01-17    05:56:25.5,60,wind,SF,155.592,-75.13,-11.3,2292.78,12.6,20.7,-367.3,-375.5,-12.5,0.8,-14.5,-4.1,RH08,-0.957,-0.161,-0.24,365.3,1.1,2.2,175.5,2.4,2.9,4.7,10.8,5.1,4.2,0.007,0.022,0.235,7.2
1995-01-18    07:52:01.5,3,wind,SF,158.679,-74.68,-11.36,1734.66,10.4,15,-390.7,-413.2,42.5,53.4,14.8,-8.5,RH08,-0.725,-0.538,0.43,266.9,1.2,1.1,198.3,4.2,3.7,2.8,4.1,4.7,4.9,0.011,0.014,0.401,18.9
1995-02-26    02:55:37.5,12,wind,FF,203.91,-14.133,9.177,3500.82,21.3,35.9,-271,-297.9,2,-6.2,-2,-10.6,RH08,-0.844,-0.404,0.352,285.9,0.7,4.2,383.21999999999997,1.1,3.9,0.7,1.9,1.4,3.9,0.007,0.012,0.337,4.6
1995-03-01    07:10:17.7,60,wind,SF,205.38,-6.683,10.98,971.22,3.2,4.3,-624.3,-667.2,30,59,-9.9,-20.9,RH08,-0.999,0.044,-0.028,791.6,0.2,0.3,49715.579999999994,2.5,11.8,10.7,20.7,12.2,23.8,0.001,0.012,0.028,959.2
1995-03-04    00:36:58.5,6,wind,FF,206.31,-0.258,12.36,2547.42,5.2,10,-414.5,-445.8,-31.4,-18.9,-35.9,0,RH08,-0.747,0.208,0.631,380.2,0.3,0.3,672,0.9,2.5,1.5,1.6,1.9,2.7,0.006,0.011,0.53,8.4
1995-03-23    09:37:22.5,6,wind,FF,213.75,39.672,17.5,3448.98,8.8,17.2,-291.5,-335.9,6.4,11.7,-5.8,-14.8,RH08,-0.965,0.127,-0.229,377.9,0.1,1.2,164.4,1.3,2.4,0.5,1.6,1.1,3,0.002,0.01,0.225,8.9
1995-04-17    23:33:04.5,9,wind,FF,229.808,59.48,10.962,3776.16,14.4,25.3,-331.8,-356.1,1.7,4.6,-0.3,14.5,RH08,-1,-0.026,0.006,389.2,0.2,1.4,44.1,0.5,1,0.5,3.5,0.6,2.9,0,0.014,0.006,4.4
1995-07-22    05:35:43.5,6,wind,FF,127.309,2.191,-12.85,6987.12,3.8,7.4,-356.5,-368.2,-21,-21.5,14.8,-25.8,RH08,0.049,0.745,-0.665,9.3,0.2,0.3,73545.12,1.8,2.8,3.4,1.3,2.4,3,0.031,0.019,0.543,6.1
1995-07-24    02:23:16.5,9,wind,FF,114.774,9.418,-11.28,1745.58,8.8,25.2,-312.8,-360.4,-13.8,-49.9,12.2,16.7,RH08,-0.884,-0.442,0.151,375.2,0.2,2.1,39.480000000000004,0.7,3.1,2.5,2.4,1.6,6,0.007,0.013,0.15,6.2
1995-08-17    02:47:19.5,9,wind,FF,53.671,18.518,-3.131,697.1999999999999,2.5,5.8,-400.2,-439.6,-0.5,8.7,24.8,14.6,RH08,-0.989,0.131,-0.073,463.9,0.2,0.4,10.559999999999999,4.3,3.7,1.1,2.1,2.9,2.9,0.002,0.009,0.072,4.8
1995-08-22    12:56:46.5,9,wind,FF,33.845,-31.926,-1.71,655.74,3.4,8.9,-323.8,-358.8,-7.7,16.4,8,25.7,RH08,-0.974,0.181,0.14,381,0.2,0.5,17.459999999999997,2.7,3.4,1.6,3.5,1.9,6.3,0.005,0.022,0.139,5.3
